date,code,open,high,low,close,preclose,volume,amount,pctChg
2022-01-04,sh.000300,4957.9835,4961.4527,4874.5337,4917.7653,4940.3733,15153477600,336516961627.0,-0.457617
2022-01-05,sh.000300,4907.9347,4916.2822,4851.9835,4868.1202,4917.7653,17881610000,363944528847.9,-1.009505
2022-01-06,sh.000300,4842.156,4857.5596,4786.433,4818.2318,4868.1202,15766582600,321750076549.2,-1.024798
2022-01-07,sh.000300,4824.3181,4856.6522,4818.1931,4822.3689,4818.2318,18713941300,332218950735.0,0.085863
2022-01-10,sh.000300,4812.23,4844.3928,4780.8191,4844.0451,4822.3689,15621169600,305033816783.5,0.449493
2022-01-11,sh.000300,4840.0087,4850.879,4791.8854,4797.7735,4844.0451,14692800400,286445756033.7,-0.955226
2022-01-12,sh.000300,4818.8902,4852.7314,4810.919,4845.5787,4797.7735,14320020400,293153042845.2,0.996404
2022-01-13,sh.000300,4853.0314,4853.0632,4765.2416,4765.9191,4845.5787,14251965300,288799117043.3,-1.643965
2022-01-14,sh.000300,4743.9124,4764.0522,4723.9428,4726.7317,4765.9191,14686312600,281828448517.4,-0.822242
2022-01-17,sh.000300,4728.7595,4775.2385,4726.7083,4767.2762,4726.7317,11529569100,263788241676.0,0.85777
2022-01-18,sh.000300,4766.7811,4826.3003,4747.92,4813.3472,4767.2762,15087080200,282749393138.7,0.966401
2022-01-19,sh.000300,4815.8106,4828.7522,4755.9301,4780.3784,4813.3472,13392736000,275534557468.5,-0.684945
2022-01-20,sh.000300,4778.2616,4845.0048,4777.5683,4823.5091,4780.3784,16497131500,304344267970.5,0.902244
2022-01-21,sh.000300,4808.7733,4818.3052,4762.5641,4779.3142,4823.5091,13895258500,274699155293.8,-0.91624
2022-01-24,sh.000300,4753.9413,4801.0976,4746.4479,4786.7377,4779.3142,11446388000,246261594852.9,0.155326
2022-01-25,sh.000300,4761.95,4781.3908,4678.2472,4678.4511,4786.7377,13366758600,250555769168.0,-2.262221
2022-01-26,sh.000300,4697.0991,4718.9946,4648.1283,4712.3109,4678.4511,10707084200,226553448356.8,0.72374
2022-01-27,sh.000300,4708.0989,4708.4364,4616.0273,4619.8765,4712.3109,12126380400,250535654824.4,-1.961551
2022-01-28,sh.000300,4641.8137,4660.519,4559.8331,4563.772,4619.8765,12648011200,263967891828.3,-1.214416
2022-02-07,sh.000300,4638.5754,4672.6535,4615.0052,4634.0899,4563.772,14484972000,266031793985.3,1.540785
2022-02-08,sh.000300,4626.4365,4626.4365,4522.4709,4608.7729,4634.0899,15583070800,281364873762.5,-0.546321
2022-02-09,sh.000300,4608.1491,4659.4611,4595.2826,4652.0609,4608.7729,14833554700,273771960506.0,0.939252
2022-02-10,sh.000300,4657.2107,4657.2107,4608.0905,4639.8625,4652.0609,15157666600,287224388085.6,-0.262215
2022-02-11,sh.000300,4617.8741,4662.5963,4595.8751,4601.3953,4639.8625,15597458400,307938016714.5,-0.829059
2022-02-14,sh.000300,4579.4202,4593.6324,4530.0566,4551.6878,4601.3953,14367389400,275737553466.7,-1.08027
2022-02-15,sh.000300,4553.8112,4601.453,4550.543,4600.1025,4551.6878,11502560000,249977008675.0,1.063665
2022-02-16,sh.000300,4619.8458,4643.1003,4607.2178,4617.9893,4600.1025,10725895500,210190931035.5,0.388835
2022-02-17,sh.000300,4616.8955,4650.1591,4606.9522,4629.1649,4617.9893,11001464300,227946249306.5,0.242001
2022-02-18,sh.000300,4604.5669,4651.3415,4598.1003,4651.2358,4629.1649,10455022800,195825700477.9,0.476779
2022-02-21,sh.000300,4646.0522,4646.6724,4613.2971,4634.3141,4651.2358,11251651200,215039182297.2,-0.363811
2022-02-22,sh.000300,4601.9184,4602.066,4550.804,4574.1527,4634.3141,12331723700,246872960668.1,-1.298173
2022-02-23,sh.000300,4582.0064,4625.2979,4579.2945,4623.0465,4574.1527,12295291600,259050146194.4,1.068915
2022-02-24,sh.000300,4592.069,4610.8792,4488.4763,4529.3189,4623.0465,18440305800,342346666856.5,-2.027399
2022-02-25,sh.000300,4564.6321,4611.8602,4561.8964,4573.4247,4529.3189,14972258300,271727599672.0,0.973784
2022-02-28,sh.000300,4563.7427,4581.6459,4530.6764,4581.6459,4573.4247,13540697800,248363727482.7,0.17976
2022-03-01,sh.000300,4597.855,4623.4312,4583.917,4619.6862,4581.6459,12313922000,260431185063.7,0.830276
2022-03-02,sh.000300,4594.017,4594.017,4558.4416,4578.6007,4619.6862,11329832500,215299655365.1,-0.889357
2022-03-03,sh.000300,4595.0249,4599.3973,4544.4313,4551.6283,4578.6007,13828587700,242701771996.2,-0.589097
2022-03-04,sh.000300,4513.3636,4539.3925,4481.4927,4496.4301,4551.6283,12726680600,249970282271.0,-1.212713
2022-03-07,sh.000300,4462.5174,4462.5174,4338.3042,4352.7775,4496.4301,16219770600,306898527658.4,-3.194814
2022-03-08,sh.000300,4361.6424,4383.6467,4252.5386,4265.391,4352.7775,16786327700,315176698370.9,-2.007603
2022-03-09,sh.000300,4280.9789,4304.482,4068.193,4226.3463,4265.391,19423290000,341009391865.7,-0.915384
2022-03-10,sh.000300,4326.2035,4335.6731,4288.5078,4292.8374,4226.3463,14526638300,301636182195.2,1.573253
2022-03-11,sh.000300,4231.1961,4316.044,4176.4522,4306.5217,4292.8374,15239992100,295008832432.0,0.318771
2022-03-14,sh.000300,4248.1526,4280.3609,4174.7577,4174.7577,4306.5217,13018723600,260691659460.8,-3.059639
2022-03-15,sh.000300,4125.4866,4163.4176,3983.812,3983.812,4174.7577,20252469900,346988947367.8,-4.573815
2022-03-16,sh.000300,4053.099,4168.5853,3942.861,4156.081,3983.812,19602198200,378883588290.3,4.324225
2022-03-17,sh.000300,4237.6722,4302.7426,4217.8038,4237.6956,4156.081,17940734400,385039197285.7,1.963739
2022-03-18,sh.000300,4218.4736,4283.3679,4194.9402,4265.9017,4237.6956,14945830500,275791291072.6,0.6656
2022-03-21,sh.000300,4280.1397,4287.8166,4223.024,4258.7459,4265.9017,12703636000,251214543321.0,-0.167744
