pubDate,demandDepositRate,fixedDepositRate3Month,fixedDepositRate6Month,fixedDepositRate1Year,fixedDepositRate2Year,fixedDepositRate3Year,fixedDepositRate5Year,installmentFixedDepositRate1Year,installmentFixedDepositRate3Year,installmentFixedDepositRate5Year
2010-10-20,0.36,1.91,2.2,2.5,3.25,3.85,4.2,1.91,2.2,2.5
2010-12-26,0.36,2.25,2.5,2.75,3.55,4.15,4.55,2.25,2.5,2.75
2011-02-09,0.4,2.6,2.8,3.0,3.9,4.5,5.0,2.6,2.8,3.0
2011-04-06,0.5,2.85,3.05,3.25,4.15,4.75,5.25,2.85,3.05,3.25
2011-07-07,0.5,3.1,3.3,3.5,4.4,5.0,5.5,3.1,3.3,3.5
2012-06-08,0.4,2.85,3.05,3.25,4.1,4.65,5.1,2.85,3.05,3.25
2012-07-06,0.35,2.6,2.8,3.0,3.75,4.25,4.75,2.6,2.8,3.0
2014-11-22,0.35,2.35,2.55,2.75,3.35,4.0,,2.35,2.55,
2015-03-01,0.35,2.1,2.3,2.5,3.1,3.75,,2.1,2.3,
2015-05-11,0.35,1.85,2.05,2.25,2.85,3.5,,1.85,2.05,
2015-06-28,0.35,1.6,1.8,2.0,2.6,3.25,,1.6,1.8,
2015-08-26,0.35,1.35,1.55,1.75,2.35,3.0,,1.35,1.55,
2015-10-24,0.35,1.1,1.3,1.5,2.1,2.75,,1.1,1.3,
