pubDate,loanRate6Month,loanRate6MonthTo1Year,loanRate1YearTo3Year,loanRate3YearTo5Year,loanRateAbove5Year,mortgateRateBelow5Year,mortgateRateAbove5Year
2010-10-20,5.1,5.56,5.6,5.96,6.14,3.5,4.05
2010-12-26,5.35,5.81,5.85,6.22,6.4,3.75,4.3
2011-02-09,5.6,6.06,6.1,6.45,6.6,4.0,4.5
2011-04-06,5.85,6.31,6.4,6.65,6.8,4.2,4.7
2011-07-07,6.1,6.56,6.65,6.9,7.05,4.45,4.9
2012-06-08,5.85,6.31,6.4,6.65,6.8,4.2,4.7
2012-07-06,5.6,6.0,6.15,6.4,6.55,4.0,4.5
2014-11-22,5.6,5.6,6.0,6.0,6.15,3.75,4.25
2015-03-01,5.35,5.35,5.75,5.75,5.9,3.5,4.0
2015-05-11,5.1,5.1,5.5,5.5,5.65,3.25,3.75
2015-06-28,4.85,4.85,5.25,5.25,5.4,3.0,3.5
2015-08-26,4.6,4.6,5.0,5.0,5.15,2.75,3.25
2015-10-24,4.35,4.35,4.75,4.75,4.9,2.75,3.25
