date,statYear,statMonth,m0Month,m0YOY,m0ChainRelative,m1Month,m1YOY,m1ChainRelative,m2Month,m2YOY,m2ChainRelative
2005-01-01,2005,01,24015.41,7.75,11.864517,97079.03,15.84,1.154736,257708.47,14.5,1.777501
2005-02-01,2005,02,22667.97,13.95,-5.610731,92814.95,11.08,-4.39238,259357.29,14.23,0.6398
2005-03-01,2005,03,21238.95,10.06,-6.304138,94743.19,10.4,2.07751,264588.94,14.22,2.017159
2005-04-01,2005,04,21666.56,9.0,2.013329,94593.72,10.5,-0.157763,266992.66,14.28,0.908473
2005-05-01,2005,05,20811.59,9.26,-3.946035,95802.01,10.4,1.277347,269240.49,14.64,0.841907
2005-06-01,2005,06,20848.76,9.63,0.178602,98601.25,11.25,2.921901,275785.53,15.67,2.430927
2005-07-01,2005,07,21171.2,9.08,1.546567,97674.1,11.0,-0.940302,276966.28,16.3,0.428141
2005-08-01,2005,08,21351.56,9.39,0.851912,99377.7,11.5,1.744168,281288.22,17.34,1.560457
2005-09-01,2005,09,22272.92,8.52,4.315188,100964.0,11.64,1.596233,287438.27,17.92,2.186387
2005-10-01,2005,10,21982.98,9.49,-1.30176,101751.98,12.08,0.780456,287591.61,17.99,0.053347
2005-11-01,2005,11,22409.39,10.89,1.939728,104125.78,12.71,2.332928,292350.39,18.3,1.654701
2005-12-01,2005,12,24031.67,11.94,7.239287,107278.57,11.78,3.027867,298755.48,17.57,2.190895
2006-01-01,2006,01,29310.37,22.05,21.965598,107250.68,10.63,-0.025998,303571.65,19.21,1.612078
2006-02-01,2006,02,24482.02,8.0,-16.47318,104357.08,12.44,-2.697978,304516.27,18.82,0.311169
2006-03-01,2006,03,23472.03,10.51,-4.125436,106737.08,12.67,2.280631,310490.65,18.76,1.961925
2006-04-01,2006,04,24155.73,11.49,2.912829,106389.11,12.48,-0.326007,313702.34,18.92,1.034392
2006-05-01,2006,05,23465.32,12.75,-2.858162,109219.22,14.01,2.66015,316709.81,19.05,0.958702
2006-06-01,2006,06,23469.08,12.57,0.016024,112342.36,13.94,2.859515,322756.35,18.43,1.909174
2006-07-01,2006,07,23752.59,12.19,1.208015,112653.04,15.34,0.276548,324010.76,18.4,0.388655
2006-08-01,2006,08,24185.36,13.27,1.821991,114845.67,15.57,1.946357,327885.67,17.94,1.19592
2006-09-01,2006,09,25687.38,15.33,6.210451,116814.1,15.7,1.713978,331865.36,16.83,1.213743
2006-10-01,2006,10,24964.16,14.03,-2.815468,118359.96,16.33,1.323351,332747.17,17.08,0.265713
2006-11-01,2006,11,25527.25,13.91,2.255594,121644.95,16.83,2.775423,337504.15,16.8,1.429608
2006-12-01,2006,12,27072.62,12.65,6.053805,126028.05,17.48,3.603191,345577.91,16.94,2.392196
2007-01-01,2007,01,27949.13,-4.64,3.237625,128484.06,19.8,1.94878,351498.77,15.79,1.713321
2007-02-01,2007,02,30627.93,25.1,9.584556,126258.08,20.99,-1.732495,358659.25,17.78,2.037128
2007-03-01,2007,03,27387.95,16.68,-10.578514,127881.31,19.81,1.285644,364104.66,17.27,1.518268
2007-04-01,2007,04,27813.88,15.14,1.555173,127678.33,20.01,-0.158725,367326.45,17.09,0.884853
2007-05-01,2007,05,26727.97,13.9,-3.904202,130275.8,19.28,2.034386,369718.15,16.74,0.65111
2007-06-01,2007,06,26881.09,14.54,0.572883,135847.4,20.92,4.276773,377832.15,17.06,2.194645
2007-07-01,2007,07,27326.26,15.05,1.656071,136237.43,20.94,0.287109,383884.88,18.48,1.601963
2007-08-01,2007,08,27822.39,14.95,1.81558,140993.21,22.77,3.490803,387205.04,18.09,0.864884
2007-09-01,2007,09,29030.58,13.01,4.34251,142591.57,22.07,1.133643,393098.91,18.45,1.522157
2007-10-01,2007,10,28317.78,13.43,-2.455342,144649.33,22.21,1.443115,394204.17,18.47,0.281166
2007-11-01,2007,11,28987.92,13.56,2.366499,148009.82,21.67,2.323198,399757.91,18.45,1.408849
2007-12-01,2007,12,30334.32,12.2,4.644693,152519.17,21.0,3.046656,403401.3,16.7,0.911399
2008-01-01,2008,01,36673.15,31.21,20.896562,154872.59,20.54,1.543032,417846.17,18.88,3.580769
2008-02-01,2008,02,32454.47,5.96,-11.503457,150177.88,18.95,-3.031337,421037.84,17.39,0.763839
2008-03-01,2008,03,30433.07,11.12,-6.228418,150867.47,17.97,0.459182,423054.53,16.19,0.478981
2008-04-01,2008,04,30789.61,10.7,1.171555,151694.91,19.05,0.548455,429313.72,16.94,1.479523
2008-05-01,2008,05,30169.3,12.88,-2.014673,153344.75,17.93,1.087604,436221.6,18.07,1.609052
2008-06-01,2008,06,30181.32,12.28,0.039842,154820.15,14.19,0.962146,443141.02,17.37,1.586217
2008-07-01,2008,07,30687.19,12.3,1.676103,154992.44,13.96,0.111284,446362.17,16.35,0.726891
2008-08-01,2008,08,30851.62,10.89,0.535826,156889.92,11.48,1.22424,448846.68,16.0,0.556613
2008-09-01,2008,09,31724.88,9.28,2.830516,155748.97,9.43,-0.72723,452898.71,15.29,0.902765
2008-10-01,2008,10,31317.84,10.59,-1.283031,157194.36,8.85,0.928025,453133.32,15.02,0.051802
2008-11-01,2008,11,31607.36,9.04,0.924457,157826.63,6.8,0.402222,458644.66,14.8,1.216273
2008-12-01,2008,12,34218.96,12.65,8.262633,166217.13,9.06,5.316276,475166.6,17.82,3.60234
2009-01-01,2009,01,41082.37115,12.02,20.057334,165214.3413,6.68,-0.6033,496135.3078,18.79,4.412917
2009-02-01,2009,02,35141.64416,8.28,-14.460526,166149.6012,10.87,0.566089,506708.07,20.48,2.131024
2009-03-01,2009,03,33746.42278,10.88,-3.970279,176541.1313,17.04,6.254321,530626.7118,25.51,4.720399
2009-04-01,2009,04,34257.26737,11.26,1.513774,178213.5683,17.48,0.947336,540481.2137,25.95,1.857144
2009-05-01,2009,05,33559.52,11.24,-2.036786,182025.58,18.69,2.139013,548263.51,25.74,1.439883
2009-06-01,2009,06,33640.98,11.46,0.242733,193138.15,24.79,6.10495,568916.2,28.46,3.766928
2009-07-01,2009,07,34239.3,11.59,1.778545,195889.27,26.37,1.424431,573102.8517,28.42,0.7359
2009-08-01,2009,08,34406.61982,11.52,0.488678,200394.8261,27.72,2.300053,576698.9535,28.53,0.627479
2009-09-01,2009,09,36787.88568,15.96,6.920953,201708.1398,29.51,0.655363,585405.3373,29.31,1.509693
2009-10-01,2009,10,35730.22531,14.09,-2.875024,207545.7431,32.03,2.894084,586643.2887,29.42,0.211469
2009-11-01,2009,11,36343.85993,14.99,1.71741,212493.2037,34.63,2.383793,594604.7213,29.74,1.357116
2009-12-01,2009,12,38246.97441,11.77,5.236413,221445.8057,32.35,4.213124,610224.5231,27.68,2.626922
2010-01-01,2010,01,40758.58,-0.79,6.566809,229588.98,38.96,3.677276,625609.29,25.98,2.521165
2010-02-01,2010,02,42865.7856,21.98,5.169968,224286.9544,34.99,-2.309355,636072.2646,25.52,1.672446
2010-03-01,2010,03,39080.58192,15.81,-8.830361,229397.9332,29.94,2.278768,649947.4643,22.5,2.181387
2010-04-01,2010,04,39657.53653,15.76,1.47632,233909.7597,31.25,1.966812,656561.217,21.48,1.017583
2010-05-01,2010,05,38652.97161,15.2,-2.5331,236497.8831,29.9,1.106462,663351.37,21.0,1.0342
2010-06-01,2010,06,38904.84529,15.7,0.651628,240579.9975,24.6,1.726068,673921.7239,18.5,1.593477
2010-07-01,2010,07,39543.15698,15.5,1.6407,240664.0696,22.9,0.034946,674051.4789,17.6,0.019254
2010-08-01,2010,08,39922.75944,16.0,0.95997,244340.6421,21.9,1.527678,687506.9183,19.2,1.996204
2010-09-01,2010,09,41854.41,13.8,4.83847,243821.9,20.9,-0.212303,696471.5,19.0,1.303926
2010-10-01,2010,10,41646.20611,16.6,-0.497448,253313.1693,22.1,3.892706,699776.7409,19.3,0.474569
2010-11-01,2010,11,42252.1624,16.3,1.45501,259420.32,22.1,2.410909,710339.025,19.5,1.509379
2010-12-01,2010,12,44628.17,16.7,5.623399,266621.54,21.2,2.775889,725851.79,19.7,2.183854
2011-01-01,2011,01,58063.94032,42.5,30.10603,261765.006,13.6,-1.821508,733884.8297,17.2,1.106705
2011-02-01,2011,02,47270.24107,10.3,-18.589333,259200.4996,14.5,-0.979698,736130.8633,15.7,0.306047
2011-03-01,2011,03,44845.22,14.8,-5.130122,266255.48,15.0,2.721824,758130.88,16.6,2.988601
2011-04-01,2011,04,45489.02796,14.7,1.435622,266766.9145,12.9,0.192084,757384.5619,15.3,-0.098442
2011-05-01,2011,05,44602.83158,15.4,-1.948154,269289.6255,12.7,0.945661,763409.2151,15.1,0.795455
2011-06-01,2011,06,44477.8,14.4,-0.280322,274662.57,13.1,1.995229,780820.85,15.9,2.280773
2011-07-01,2011,07,45183.1,14.3,1.585735,270545.65,11.6,-1.498901,772923.65,14.7,-1.011397
2011-08-01,2011,08,45775.28649,14.7,1.310637,273393.7738,11.2,1.052733,780852.3021,13.5,1.0258
2011-09-01,2011,09,47145.28714,12.68,2.992883,267193.1613,8.85,-2.268015,787406.2038,13.04,0.839327
2011-10-01,2011,10,46579.39223,11.9,-1.200321,276552.6711,8.4,3.5029,816829.2489,12.9,3.736705
2011-11-01,2011,11,47317.2612,12.0,1.58411,281416.3725,7.8,1.758689,825493.9445,12.7,1.060772
2011-12-01,2011,12,50748.4617,13.8,7.251477,289847.697,7.9,2.996032,851590.9,13.6,3.161375
2012-01-01,2012,01,59820.72,3.0,17.876913,270010.4,3.1,-6.844042,855898.89,12.4,0.505876
2012-02-01,2012,02,51448.78,8.8,-13.995051,270312.11,4.3,0.11174,867171.42,13.0,1.31704
2012-03-01,2012,03,49595.74,10.6,-3.601718,277998.11,4.4,2.84338,895565.5,13.4,3.274333
2012-04-01,2012,04,50199.32,10.4,1.217,274983.82,3.1,-1.084284,889604.04,12.8,-0.665664
2012-05-01,2012,05,49039.72,10.0,-2.309991,278656.31,3.5,1.335529,900048.77,13.2,1.174088
2012-06-01,2012,06,49284.64,10.8,0.499432,287526.17,4.7,3.183082,924991.2,13.6,2.771231
2012-07-01,2012,07,49705.84779,10.0,0.854643,283090.6809,4.6,-1.542638,919072.4019,13.9,-0.639876
2012-08-01,2012,08,50235.06154,9.7,1.064691,285739.2653,4.5,0.935596,924894.5865,13.5,0.633485
2012-09-01,2012,09,53433.4881,13.3,6.366921,286788.2061,7.3,0.367097,943688.7534,14.8,2.032033
2012-10-01,2012,10,51467.71201,10.5,-3.678922,293309.7849,6.1,2.274005,936404.2792,14.1,-0.771915
2012-11-01,2012,11,52392.12,10.7,1.796093,296883.0,5.5,1.218239,944832.4,13.9,0.900052
2012-12-01,2012,12,54659.77,7.7,4.328227,308664.23,6.5,3.968307,974148.8,13.8,3.102815
2013-01-01,2013,01,62449.63,4.4,14.251542,311228.55,15.3,0.83078,992129.25,15.9,1.84576
2013-02-01,2013,02,60313.65,17.2,-3.420325,296103.24,9.5,-4.859872,998600.83,15.2,0.652292
2013-03-01,2013,03,55460.52,12.4,-8.046487,310898.29,11.9,4.996585,1035858.37,15.7,3.730974
2013-04-01,2013,04,55607.15123,10.8,0.264388,307648.4202,11.9,-1.045316,1032551.903,16.1,-0.319201
2013-05-01,2013,05,54431.39,10.8,-2.114407,310204.48,11.3,0.830838,1042169.16,15.8,0.931407
2013-06-01,2013,06,54063.91,9.9,-0.675125,313499.82,9.1,1.062312,1054403.69,14.0,1.173949
2013-07-01,2013,07,54412.78,9.5,0.645292,310596.46,9.7,-0.926112,1052212.34,14.5,-0.207828
2013-08-01,2013,08,54925.35,9.3,0.942003,314085.91,9.9,1.123467,1061256.43,14.7,0.859531
2013-09-01,2013,09,56492.53112,5.7,2.853293,312330.3433,8.9,-0.558945,1077379.163,14.2,1.519212
2013-10-01,2013,10,55595.72,8.0,-1.587486,319509.38,8.9,2.29854,1070242.167,14.3,-0.662441
2013-11-01,2013,11,56441.27238,7.7,1.520895,324821.9228,9.4,1.662719,1079257.055,14.2,0.842322
2013-12-01,2013,12,58574.44,7.1,3.779446,337291.05,9.3,3.838758,1106524.98,13.6,2.526546
2014-01-01,2014,01,76488.59523,22.5,30.583571,314900.5525,1.2,-6.638331,1123521.21,13.2,1.536001
